Model,R2,MAE,MSE,RMSE
Linear Regression,0.4032421576668749,4.54465483244335,66.65481575311706,8.164240059743287
Random Forest,0.5938826713425425,3.054982625612554,45.36124001316425,6.735075353191251
XGBoost,0.6747292617489482,2.944171845115848,36.33108706747658,6.02752744228316
Linear Regression (tgtlog),0.5127814587761279,3.389442240744962,54.41983295906324,7.37697993484212
Random Forest (tgtlog),0.6401846903182511,2.910191925506977,40.189539995353066,6.339522063638005
XGBoost (tgtlog),0.658915493395835,2.8945933052815924,38.097404560378195,6.1723094997236
